# Symbol Reference File
# Format: SYMBOL_NAME ADDRESS
SSF_GateStates_ModeA7 0xE01DA0
SSF_GateStates_ModeA8 0xE01DA2
SSF_GateStates_ModeA9 0xE01DA4
SSF_GateStates_ModeAA 0xE01DB0
SSF_GateStates_ModeAB 0xE01DB2
SSF_GateStates_ModeAC 0xE01DB6
SSF_GateStates_ModeAD 0xE01DB8
SSF_GateStates_ModeAE 0xE01DBA
SSF_GateStates_ModeAF 0xE01DBC
SSF_GateStates_ModeB0 0xE01DBE
SSF_GateStates_ModeB1 0xE01DC0
SSF_GateStates_ModeB2 0xE01DC2
SSF_GateStates_ModeB3 0xE01DC4
SSF_GateStates_ModeB4 0xE01DC6
SSF_GateStates_ModeB5 0xE01DC8
SSF_GateStates_ModeB6 0xE01DD2
SSF_GateStates_ModeB7 0xE01DD4
SSF_GateStates_ModeB8 0xE01DE0
SSF_GateStates_ModeB9 0xE01DE2
SSF_GateStates_ModeBA 0xE01DE4
SSF_GateStates_ModeBB 0xE01DE6
SSF_GateStates_ModeBC 0xE01DEA
SSF_GateStates_ModeBD 0xE01DEC
SSF_GateStates_ModeBE 0xE01DEE
SSF_GateStates_ModeBF 0xE01DF0
SSF_GateStates_ModeC0 0xE01DF2
SSF_GateStates_ModeC1 0xE01DF4
SSF_GateStates_ModeC2 0xE01DF6
SSF_GateStates_ModeC3 0xE01DF8
SSF_GateStates_ModeC4 0xE01DFA
SSF_GateStates_ModeC5 0xE01DFC
SSF_GateStates_ModeC6 0xE01DFE
SSF_GateStates_ModeC7 0xE01E00
SSF_GateStates_ModeC8 0xE01E02
SSF_GateStates_ModeC9 0xE01E06
SSF_GateStates_ModeCA 0xE01E10
SSF_GateStates_ModeCB 0xE01E12
SSF_GateStates_ModeCC 0xE01E14
SSF_GateStates_ModeCD 0xE01E16
SSF_GateStates_ModeCE 0xE01E18
SSF_GateStates_ModeCF 0xE01E1A
SSF_GateStates_ModeD0 0xE01E1C
SSF_GateStates_ModeD1 0xE01E1E
SSF_GateStates_ModeD2 0xE01E20
SSF_GateStates_ModeD3 0xE01E22
SSF_GateStates_ModeD4 0xE01E24
SSF_GateStates_ModeD5 0xE01E26
SSF_GateStates_ModeD6 0xE01E28
SSF_GateStates_ModeD7 0xE01E52
SSF_GateStates_ModeD8 0xE01E64
SSF_GateStates_ModeD9 0xE01E6C
SSF_GateStates_ModeDA 0xE01E6E
SSF_GateStates_ModeDB 0xE01E70
SSF_GateStates_ModeDC 0xE01E72
SSF_GateStates_ModeDD 0xE01E92
SSF_GateStates_ModeDE 0xE01E94
SSF_GateStates_ModeDF 0xE01E96
SSF_GateStates_ModeE0 0xE01E98
SSF_GateStates_ModeE1 0xE01E9A
SSF_GateStates_ModeE2 0xE01E9C
SSF_GateStates_ModeE3 0xE01E9E
SSF_GateStates_ModeE4 0xE01EA0
SSF_GateStates_ModeE5 0xE01EA4
SSF_GateStates_ModeE6 0xE01EA6
SSF_GateStates_ModeE7 0xE01EA8
SSF_GateStates_ModeE8 0xE01EAA
SSF_GateStates_ModeE9 0xE01EAC
SSF_GateStates_ModeEA 0xE01EB6
